complaint_id,description,category,subcategory,latitude,longitude,timestamp,ground_truth_issue_id,is_duplicate
1,The road around the Eachanari area has a large crater right in the middle of the lane. This has been the case for several days.,Road,Pothole,10.952425,76.954795,2026-08-08 09:36,ISSUE_0008,True
2,The junction box around the Sitra area has been left open with live connections inside. It is causing inconvenience to daily commuters. This has been the case for several days.,Electricity,Electrical hazard,10.97648,76.996942,2026-07-23 20:50,ISSUE_0419,True
3,"There's no signal control just outside Vadavalli at all, it seems to have shut down. Several people in the area have noticed this.",Road,Traffic signal,11.021157,76.906874,2026-08-19 02:07,ISSUE_0077,True
4,"There's a bad smell in the drinking water around the Pollachi Road area. Not a big problem yet, just flagging it.",Water,Water quality,10.934166,76.967296,2026-07-31 10:15,ISSUE_0341,True
5,"Vehicles are struggling over the broken patch of road in front of Peelamedu. Not a big problem yet, just flagging it.",Road,Road damage,11.02794,77.027381,2026-08-17 22:13,ISSUE_0047,True
6,The smell from the overflowing drain close to Malumichampatti is unbearable. It's a small issue but worth noting.,Drainage,Drain overflow,10.929632,76.990597,2026-07-29 12:39,ISSUE_0253,False
7,Trash is spilling out of the bins at Mettupalayam Road onto the road.,Sanitation,Garbage collection,11.046106,76.947357,2026-08-16 19:08,ISSUE_0153,True
8,Loose gravel and broken tar cover the stretch around the Trichy Road area. It is causing inconvenience to daily commuters.,Road,Road damage,10.988862,77.011358,2026-07-31 12:27,ISSUE_0049,True
9,"The traffic signal at Vadavalli has been stuck on red for a long time. Not a big problem yet, just flagging it.",Road,Traffic signal,11.020548,76.906972,2026-07-02 00:58,ISSUE_0077,True
10,"Pedestrian signal in front of Uppilipalayam isn't functioning, making it unsafe to cross. Several people in the area have noticed this.",Road,Traffic signal,10.99067,77.023352,2026-07-05 04:21,ISSUE_0089,True
11,Bikers keep swerving along the stretch near Vilankurichi because of a hidden pothole. Several people in the area have noticed this.,Road,Pothole,11.013585,77.019691,2026-07-17 20:27,ISSUE_0017,True
12,The whole street on the Vadavalli Bridge main road has been without power since last night. Several people in the area have noticed this.,Electricity,Power outage,11.026321,76.90114,2026-08-14 10:51,ISSUE_0380,True
13,Vehicles are just going by instinct on the Kuniyamuthur main road since the signal isn't working.,Road,Traffic signal,10.968674,76.953721,2026-07-30 15:54,ISSUE_0083,True
14,Bikers keep swerving close to Vilankurichi because of a hidden pothole. Elderly residents are finding it especially difficult. This has been the case for quite some time.,Road,Pothole,11.013466,77.018707,2026-08-14 23:49,ISSUE_0017,True
15,The streetlight near the park in front of Kovaipudur has been off for a long time. Several people in the area have noticed this.,Streetlight,Broken streetlight,10.942308,76.913745,2026-08-06 17:13,ISSUE_0123,True
16,Garbage has not been collected close to Eachanari for several days now.,Sanitation,Garbage collection,10.948981,76.952268,2026-07-19 05:35,ISSUE_0156,True
17,Someone has been illegally dumping construction debris on the Ondipudur Bypass main road. This needs to be fixed immediately before someone gets hurt.,Sanitation,Waste dumping,11.011594,77.05023,2026-08-04 18:56,ISSUE_0189,True
