complaint_id,description,category,subcategory,latitude,longitude,timestamp,ground_truth_issue_id,is_duplicate
1,Road is badly damaged here near Ram Nagar Corporation School entrance and bikes are almost falling.,Road,Pothole,11.003159,76.964068,2026-07-04 22:45,ISSUE_001,True
2,Car tyres are getting damaged because of the pothole near Ram Nagar Corporation School entrance.,Road,Pothole,11.003133,76.964594,2026-07-11 19:15,ISSUE_001,True
3,There has been a deep pothole near Ram Nagar Corporation School entrance for almost a week. Two-wheelers are having difficulty passing through this area.,Road,Pothole,11.005246,76.964991,2026-07-01 11:55,ISSUE_001,True
4,Big pothole near Ram Nagar Corporation School entrance.,Road,Pothole,11.005113,76.964989,2026-07-04 16:05,ISSUE_001,True
5,"Monsoon rains have widened the pothole near Ram Nagar Corporation School entrance, it's now quite risky.",Road,Pothole,11.003464,76.964084,2026-07-06 14:00,ISSUE_001,True
6,The stretch of road near Ram Nagar Corporation School entrance has developed a dangerous crater-like pothole.,Road,Pothole,11.006649,76.966281,2026-07-07 08:40,ISSUE_001,True
7,Deep road damage reported near Ram Nagar Corporation School entrance.,Road,Pothole,11.004466,76.966743,2026-07-06 12:55,ISSUE_001,True
8,Bikes are almost falling because of the damaged road near Ram Nagar Corporation School entrance.,Road,Pothole,11.003348,76.966906,2026-07-05 08:15,ISSUE_001,True
9,Two-wheelers nearly fell due to the damaged road beside Ram Nagar Corporation School entrance.,Road,Pothole,11.007332,76.965501,2026-07-08 17:10,ISSUE_001,True
10,A large pothole has appeared close to Ram Nagar Corporation School entrance.,Road,Pothole,11.004851,76.964648,2026-07-05 08:45,ISSUE_001,True
11,There is a huge pothole near Gandhipuram Bus Stand.,Road,Pothole,11.019214,76.96878,2026-07-07 07:25,ISSUE_002,True
12,"Monsoon rains have widened the pothole near Gandhipuram Bus Stand, it's now quite risky.",Road,Pothole,11.017006,76.965231,2026-07-09 12:50,ISSUE_002,True
13,The stretch of road near Gandhipuram Bus Stand has developed a dangerous crater-like pothole.,Road,Pothole,11.017496,76.969323,2026-07-11 10:20,ISSUE_002,True
14,The road outside Gandhipuram Bus Stand has a deep hole.,Road,Pothole,11.015698,76.968625,2026-07-08 19:45,ISSUE_002,True
15,The road beside Gandhipuram Bus Stand is badly damaged and dangerous.,Road,Pothole,11.016997,76.965997,2026-07-06 22:35,ISSUE_002,True
16,Deep road damage reported near Gandhipuram Bus Stand.,Road,Pothole,11.015455,76.965136,2026-07-05 10:50,ISSUE_002,True
17,Two-wheelers nearly fell due to the damaged road beside Gandhipuram Bus Stand.,Road,Pothole,11.0158,76.968302,2026-07-05 18:30,ISSUE_002,True
18,A large pothole has appeared close to Podanur Market.,Road,Pothole,10.964674,76.974169,2026-07-14 14:40,ISSUE_003,True
19,Car tyres are getting damaged because of the pothole near Podanur Market.,Road,Pothole,10.96631,76.974438,2026-07-09 15:50,ISSUE_003,True
20,"Monsoon rains have widened the pothole near Podanur Market, it's now quite risky.",Road,Pothole,10.965038,76.972895,2026-07-11 11:40,ISSUE_003,True
21,Big pothole near Podanur Market.,Road,Pothole,10.967267,76.976512,2026-07-09 16:35,ISSUE_003,True
22,Bikes are almost falling because of the damaged road near Podanur Market.,Road,Pothole,10.962597,76.976545,2026-07-11 13:00,ISSUE_003,True
